src_ip,dst_ip,proto,dst_port,packets,bytes,duration,label
10.0.0.2,10.0.0.6,17,80,790,37312,7.102,0
10.0.0.7,10.0.0.5,6,22,796,8131,3.134,0
10.0.0.3,10.0.0.3,17,443,122,4179,2.016,0
10.0.0.8,10.0.0.10,17,22,727,65286,2.66,0
10.0.0.3,10.0.0.2,17,5201,358,67350,3.572,0
192.168.4.210,10.0.0.12,6,80,12434,3681136,0.912,1
10.0.0.11,10.0.0.10,6,22,338,79864,11.394,0
192.168.5.149,10.0.0.12,6,80,29362,2257691,0.478,1
10.0.0.2,10.0.0.1,6,80,278,29077,0.958,0
10.0.0.1,10.0.0.7,17,5201,347,58500,4.349,0
10.0.0.8,10.0.0.4,17,80,712,48947,6.761,0
192.168.5.55,10.0.0.12,6,80,21356,2791869,1.094,1
192.168.3.27,10.0.0.12,6,80,10284,805846,0.234,1
10.0.0.11,10.0.0.10,6,443,328,72999,0.657,0
10.0.0.5,10.0.0.3,17,5201,584,2067,1.787,0
10.0.0.11,10.0.0.10,17,80,800,39515,9.678,0
10.0.0.3,10.0.0.4,17,443,733,28843,1.239,0
192.168.5.232,10.0.0.12,6,80,19136,2924817,1.943,1
192.168.4.189,10.0.0.12,6,80,24164,1539480,0.722,1
10.0.0.8,10.0.0.5,17,80,489,10669,2.119,0
10.0.0.5,10.0.0.8,6,5201,314,60246,1.339,0
10.0.0.12,10.0.0.1,6,80,422,45273,9.707,0
10.0.0.2,10.0.0.4,6,80,752,31079,6.614,0
10.0.0.5,10.0.0.9,6,443,97,32435,8.781,0
10.0.0.10,10.0.0.8,17,80,706,15814,8.34,0
192.168.4.229,10.0.0.12,6,80,59703,3416679,1.248,1
192.168.4.174,10.0.0.12,6,80,52011,866485,1.954,1
10.0.0.6,10.0.0.9,17,443,213,79766,6.355,0
192.168.5.135,10.0.0.12,6,80,50034,3453262,1.595,1
192.168.5.57,10.0.0.12,6,80,12135,3874122,0.485,1
10.0.0.9,10.0.0.7,17,80,174,51800,11.593,0
10.0.0.9,10.0.0.6,17,5201,475,6886,0.959,0
10.0.0.11,10.0.0.10,6,22,35,64077,1.702,0
10.0.0.6,10.0.0.5,6,22,690,22495,1.096,0
10.0.0.11,10.0.0.3,6,22,277,42088,11.149,0
10.0.0.7,10.0.0.5,6,443,765,38047,5.596,0
10.0.0.5,10.0.0.5,17,5201,159,9092,2.423,0
10.0.0.1,10.0.0.1,6,443,346,47661,10.787,0
192.168.2.50,10.0.0.12,6,80,22829,635180,0.876,1
10.0.0.6,10.0.0.6,17,5201,339,25527,11.779,0
192.168.3.29,10.0.0.12,6,80,26494,630798,0.547,1
192.168.3.39,10.0.0.12,6,80,59059,1288250,0.303,1
10.0.0.7,10.0.0.10,17,80,189,65597,5.548,0
10.0.0.2,10.0.0.11,6,5201,42,4705,1.577,0
192.168.4.189,10.0.0.12,6,80,50250,590103,0.654,1
10.0.0.9,10.0.0.8,6,80,300,68361,8.134,0
192.168.5.146,10.0.0.12,6,80,48131,1468512,1.233,1
192.168.2.134,10.0.0.12,6,80,49109,595169,0.657,1
192.168.3.153,10.0.0.12,6,80,50952,601530,1.562,1
10.0.0.4,10.0.0.8,17,5201,210,72438,9.246,0
192.168.4.122,10.0.0.12,6,80,25211,1108802,1.108,1
10.0.0.2,10.0.0.7,17,5201,136,72533,3.406,0
10.0.0.1,10.0.0.2,17,443,424,32690,4.021,0
10.0.0.1,10.0.0.1,17,443,645,58873,10.045,0
10.0.0.7,10.0.0.5,17,22,93,62444,0.723,0
10.0.0.11,10.0.0.4,6,22,373,39070,6.798,0
10.0.0.4,10.0.0.4,17,443,620,1171,3.689,0
192.168.2.54,10.0.0.12,6,80,45863,3580133,1.699,1
10.0.0.9,10.0.0.7,17,80,524,46319,5.028,0
10.0.0.6,10.0.0.11,6,5201,722,63522,7.765,0
