Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Label
10.0.0.8,10.0.0.12,2663,80,17,129393,19,13,BENIGN
10.0.0.7,10.0.0.12,45372,80,6,310588,32,7,BENIGN
10.0.0.2,10.0.0.12,7164,80,6,122981,37,43,BENIGN
10.0.0.2,10.0.0.12,37805,80,6,376400,46,49,BENIGN
10.0.0.35,10.0.0.12,28517,80,6,236514,42,22,BENIGN
10.0.0.1,10.0.0.12,50753,80,6,367026,32,26,BENIGN
10.0.0.18,10.0.0.12,11213,80,6,401290,26,11,BENIGN
10.0.0.6,10.0.0.12,25922,80,6,189208,59,27,BENIGN
10.0.0.39,10.0.0.12,18359,80,6,383589,34,39,BENIGN
10.0.0.8,10.0.0.12,64798,80,17,42313,40,23,BENIGN
10.0.0.40,10.0.0.12,59052,80,17,303698,17,50,BENIGN
10.0.0.5,10.0.0.12,4027,80,6,406310,23,10,BENIGN
10.0.0.15,10.0.0.12,57809,80,6,200295,22,34,BENIGN
10.0.0.24,10.0.0.12,11683,80,17,187264,18,47,BENIGN
10.0.0.18,10.0.0.12,47018,80,6,320360,45,15,BENIGN
10.0.0.35,10.0.0.12,48808,80,6,86669,34,29,BENIGN
10.0.0.18,10.0.0.12,61670,80,6,359935,25,58,BENIGN
10.0.0.4,10.0.0.12,16034,80,6,423075,25,30,BENIGN
10.0.0.18,10.0.0.12,5361,80,6,479746,41,50,BENIGN
10.0.0.21,10.0.0.12,14958,80,17,208425,46,34,BENIGN
10.0.0.10,10.0.0.12,18383,80,6,130303,52,40,BENIGN
10.0.0.35,10.0.0.12,18243,80,17,471717,42,30,BENIGN
10.0.0.24,10.0.0.12,15397,80,6,268138,36,10,BENIGN
10.0.0.4,10.0.0.12,57457,80,6,81132,45,15,BENIGN
10.0.0.28,10.0.0.12,40110,80,6,202728,29,43,BENIGN
10.0.0.30,10.0.0.12,35700,80,17,291049,60,5,BENIGN
10.0.0.8,10.0.0.12,45700,80,17,403967,46,26,BENIGN
10.0.0.8,10.0.0.12,20258,80,17,83920,34,5,BENIGN
10.0.0.17,10.0.0.12,64717,80,6,267171,11,60,BENIGN
10.0.0.20,10.0.0.12,56183,80,6,81131,28,53,BENIGN
10.0.0.11,10.0.0.12,36372,80,6,315019,25,36,BENIGN
10.0.0.2,10.0.0.12,8355,80,17,461703,58,56,BENIGN
10.0.0.20,10.0.0.12,16716,80,6,127286,41,10,BENIGN
10.0.0.6,10.0.0.12,48990,80,17,428831,9,53,BENIGN
10.0.0.35,10.0.0.12,51213,80,6,68314,47,35,BENIGN
10.0.0.36,10.0.0.12,11845,80,17,277653,60,43,BENIGN
10.0.0.28,10.0.0.12,64224,80,6,488018,39,53,BENIGN
10.0.0.13,10.0.0.12,47747,80,17,210186,47,46,BENIGN
10.0.0.24,10.0.0.12,29735,80,17,64441,20,19,BENIGN
10.0.0.5,10.0.0.12,23180,80,6,309443,40,19,BENIGN
10.0.0.38,10.0.0.12,15456,80,6,38220,50,45,BENIGN
10.0.0.4,10.0.0.12,16027,80,6,475700,7,60,BENIGN
10.0.0.22,10.0.0.12,5667,80,6,147002,47,36,BENIGN
10.0.0.14,10.0.0.12,36363,80,6,380245,41,41,BENIGN
10.0.0.31,10.0.0.12,16949,80,17,424360,31,17,BENIGN
10.0.0.7,10.0.0.12,7376,80,17,186753,32,31,BENIGN
10.0.0.30,10.0.0.12,57636,80,6,354036,46,46,BENIGN
10.0.0.7,10.0.0.12,4996,80,17,382793,26,56,BENIGN
10.0.0.7,10.0.0.12,17319,80,6,100724,39,33,BENIGN
10.0.0.9,10.0.0.12,28672,80,6,147037,34,20,BENIGN
10.0.0.5,10.0.0.12,30065,80,6,27522,46,39,BENIGN
10.0.0.1,10.0.0.12,64528,80,6,486683,53,59,BENIGN
10.0.0.16,10.0.0.12,11923,80,17,255615,35,18,BENIGN
10.0.0.26,10.0.0.12,60166,80,6,87317,29,5,BENIGN
10.0.0.25,10.0.0.12,18404,80,17,150552,32,49,BENIGN
10.0.0.36,10.0.0.12,44400,80,17,82158,17,23,BENIGN
10.0.0.14,10.0.0.12,64509,80,6,304657,52,39,BENIGN
10.0.0.4,10.0.0.12,50043,80,17,30971,8,42,BENIGN
10.0.0.31,10.0.0.12,33978,80,6,30821,37,10,BENIGN
10.0.0.12,10.0.0.12,5514,80,6,355005,60,20,BENIGN
10.0.0.26,10.0.0.12,8880,80,6,304520,43,7,BENIGN
10.0.0.40,10.0.0.12,6396,80,17,345652,42,41,BENIGN
10.0.0.34,10.0.0.12,21757,80,17,108090,47,50,BENIGN
10.0.0.21,10.0.0.12,16666,80,17,208505,13,47,BENIGN
10.0.0.20,10.0.0.12,30988,80,17,488073,53,9,BENIGN
10.0.0.1,10.0.0.12,31058,80,6,39409,39,18,BENIGN
10.0.0.33,10.0.0.12,18404,80,6,490296,27,9,BENIGN
10.0.0.16,10.0.0.12,25241,80,17,83704,33,58,BENIGN
10.0.0.35,10.0.0.12,47131,80,17,321695,56,46,BENIGN
10.0.0.34,10.0.0.12,1536,80,17,489508,47,11,BENIGN
10.0.0.9,10.0.0.12,18356,80,6,467465,11,52,BENIGN
10.0.0.36,10.0.0.12,11211,80,17,148721,43,18,BENIGN
10.0.0.22,10.0.0.12,14366,80,17,265979,36,21,BENIGN
10.0.0.4,10.0.0.12,7072,80,17,435817,22,7,BENIGN
10.0.0.1,10.0.0.12,22883,80,6,335030,21,15,BENIGN
10.0.0.29,10.0.0.12,37178,80,17,295076,5,12,BENIGN
10.0.0.5,10.0.0.12,62958,80,6,287046,7,58,BENIGN
10.0.0.24,10.0.0.12,39199,80,6,226332,13,7,BENIGN
10.0.0.20,10.0.0.12,24921,80,6,472295,27,18,BENIGN
10.0.0.16,10.0.0.12,44732,80,6,186429,54,40,BENIGN
10.0.0.27,10.0.0.12,64845,80,6,486366,20,60,BENIGN
